,ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
258,W0259,6.4,0.23,0.39,1.8,0.032,23.0,118.0,0.9912,3.32,0.5,11.8,2.0
259,W0260,5.8,0.36,0.38,0.9,0.037,3.0,75.0,0.9904,3.28,0.34,11.4,1.0
260,W0261,6.9,0.115,,5.4,0.048,36.0,108.0,0.9939,,,10.2,2.0
261,W0262,6.9,0.29,0.4,19.45,0.043,36.0,156.0,0.9996,2.93,0.47,8.9,1.0
262,W0263,6.9,0.28,0.4,8.2,0.036,15.0,95.0,0.9944,3.17,0.33,10.2,1.0
263,W0264,7.2,0.29,0.4,13.6,0.045,66.0,231.0,0.9977,3.08,0.59,9.6,2.0
264,W0265,6.2,0.24,0.35,1.2,0.038,22.0,167.0,0.9912,3.1,0.48,10.6,2.0
265,W0266,6.9,0.29,0.4,19.45,0.043,36.0,156.0,0.9996,2.93,0.47,8.9,1.0
266,W0267,6.9,0.32,0.26,8.3,0.053,32.0,180.0,0.9965,3.25,0.51,9.2,2.0
267,W0268,5.3,0.58,0.07,6.9,0.043,34.0,149.0,0.9944,3.34,0.57,9.7,1.0
268,W0269,5.3,0.585,,7.1,0.044,34.0,145.0,0.9945,,0.57,9.7,2.0
269,W0270,5.4,0.59,0.07,7.0,0.045,36.0,147.0,0.9944,3.34,,9.7,2.0
270,W0271,6.9,0.32,0.26,8.3,0.053,32.0,180.0,0.9965,3.25,0.51,9.2,2.0
271,W0272,5.2,0.6,0.07,7.0,0.044,33.0,147.0,0.9944,3.33,0.58,9.7,1.0
272,W0273,5.8,0.25,0.26,13.1,0.051,44.0,148.0,0.9972,3.29,0.38,9.3,1.0
273,W0274,6.6,0.58,0.3,5.1,0.057,30.0,123.0,0.9949,3.24,0.38,9.0,1.0
274,W0275,7.0,0.29,,10.7,0.046,59.0,234.0,0.9966,3.05,0.61,9.5,1.0
275,W0276,6.6,0.19,,8.9,0.046,51.0,169.0,0.9954,,0.57,9.8,2.0
276,W0277,6.7,0.2,,9.1,0.044,50.0,166.0,0.9954,,0.58,9.8,2.0
277,W0278,7.7,0.26,0.4,1.1,0.042,9.0,60.0,0.9915,2.89,0.5,10.6,1.0
278,W0279,6.8,0.32,0.34,1.2,0.044,14.0,67.0,0.9919,,0.47,10.6,1.0
279,W0280,7.0,0.3,0.49,4.7,0.036,17.0,105.0,0.9916,3.26,0.68,12.4,2.0
280,W0281,7.0,0.24,0.36,2.8,0.034,22.0,112.0,0.99,,0.38,12.6,2.0
281,W0282,6.1,0.31,,5.0,0.039,36.0,114.0,0.9909,,,12.3,2.0
282,W0283,6.8,0.44,0.37,5.1,0.047,46.0,201.0,0.9938,3.08,0.65,10.5,1.0
283,W0284,6.7,0.34,0.3,15.6,0.054,51.0,196.0,0.9982,3.19,,9.3,1.0
284,W0285,7.1,0.35,,15.4,0.055,46.0,198.0,0.9988,3.12,0.49,8.8,1.0
285,W0286,7.3,0.32,0.25,7.2,0.056,47.0,180.0,0.9961,3.08,0.47,8.8,1.0
286,W0287,6.5,0.28,,15.7,0.053,51.0,190.0,0.9978,3.22,0.51,9.7,2.0
287,W0288,7.2,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,0.48,9.0,2.0
288,W0289,7.2,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,0.48,9.0,2.0
289,W0290,7.2,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,0.48,9.0,2.0
290,W0291,7.2,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,0.48,9.0,2.0
291,W0292,5.9,0.15,0.31,5.8,0.041,53.0,155.0,0.9945,3.52,,10.5,2.0
292,W0293,7.4,0.28,0.42,19.8,0.066,53.0,195.0,1.0,2.96,0.44,9.1,1.0
293,W0294,6.2,0.28,,7.3,0.041,26.0,157.0,0.9957,,0.64,9.8,2.0
294,W0295,9.1,0.59,,1.6,0.066,34.0,182.0,0.9968,,0.38,8.5,1.0
295,W0296,6.3,0.33,0.27,1.2,0.046,34.0,175.0,0.9934,3.37,0.54,9.4,2.0
296,W0297,8.3,0.39,0.7,10.6,0.045,33.0,169.0,0.9976,3.09,0.57,9.4,1.0
297,W0298,7.2,0.19,0.46,3.8,0.041,82.0,187.0,0.9932,3.19,0.6,11.2,2.0
298,W0299,7.5,0.17,0.44,11.3,0.046,65.0,146.0,0.997,3.17,0.45,10.0,2.0
299,W0300,6.7,0.17,0.5,2.1,0.043,27.0,122.0,0.9923,3.15,,10.3,2.0
300,W0301,6.1,0.41,0.0,1.6,0.063,36.0,87.0,0.9914,3.27,0.67,10.8,2.0
301,W0302,8.3,0.2,0.35,0.9,0.05,12.0,74.0,0.992,3.13,0.38,10.5,2.0
302,W0303,6.1,0.41,0.0,1.6,0.063,36.0,87.0,0.9914,3.27,0.67,10.8,2.0
303,W0304,6.0,0.29,0.21,1.3,0.055,42.0,168.0,0.9914,3.32,0.43,11.1,2.0
304,W0305,7.3,0.41,,6.8,0.057,41.0,163.0,0.9949,3.2,0.41,9.9,2.0
305,W0306,7.3,0.41,0.24,6.8,0.057,41.0,163.0,0.9949,3.2,,9.9,2.0
306,W0307,7.2,0.43,0.24,6.7,0.058,40.0,163.0,0.995,3.2,,9.9,1.0
307,W0308,7.3,0.4,0.24,6.7,0.058,41.0,166.0,0.995,3.2,,9.9,2.0
308,W0309,6.2,0.33,,4.9,0.036,30.0,134.0,0.9927,,0.42,10.4,2.0
309,W0310,6.2,0.31,,4.8,0.037,36.0,148.0,0.9928,3.21,0.41,10.4,2.0
310,W0311,6.1,0.36,0.27,2.1,0.035,16.0,100.0,0.9917,3.4,0.71,11.5,2.0
311,W0312,5.0,0.55,0.14,8.3,0.032,35.0,164.0,0.9918,3.53,0.51,12.5,2.0
312,W0313,7.8,0.25,0.41,3.7,0.042,37.0,149.0,0.9954,3.36,0.45,10.0,2.0
313,W0314,5.7,0.36,0.21,6.7,0.038,51.0,166.0,0.9941,3.29,,10.0,2.0
314,W0315,5.8,0.34,0.21,6.6,0.04,50.0,167.0,0.9941,3.29,0.62,10.0,1.0
315,W0316,6.8,0.28,0.6,1.1,0.132,42.0,127.0,0.9934,3.09,0.44,9.1,2.0
316,W0317,6.8,0.25,0.34,4.7,0.031,34.0,134.0,0.9927,3.21,0.38,10.6,2.0
317,W0318,6.6,0.24,0.35,7.7,0.031,36.0,135.0,0.9938,3.19,0.37,10.5,1.0
318,W0319,5.9,0.3,0.47,7.85,0.03,19.0,133.0,0.9933,3.52,0.43,11.5,2.0
319,W0320,6.1,0.125,0.25,3.3,0.04,10.0,69.0,0.9934,3.54,0.59,10.1,2.0
320,W0321,6.0,0.1,0.24,1.1,0.041,15.0,65.0,0.9927,3.61,0.61,10.3,2.0
321,W0322,6.6,0.24,,7.7,0.031,36.0,135.0,0.9938,,0.37,10.5,1.0
322,W0323,6.8,0.25,0.34,4.7,0.031,34.0,134.0,0.9927,3.21,0.38,10.6,2.0
323,W0324,6.8,0.28,0.44,9.3,0.031,35.0,137.0,0.9946,3.16,0.36,10.4,2.0
324,W0325,8.3,0.41,0.51,2.0,0.046,11.0,207.0,0.993,3.02,0.55,11.4,1.0
325,W0326,7.5,0.27,0.31,5.8,0.057,131.0,313.0,0.9946,3.18,0.59,10.5,1.0
326,W0327,7.9,0.26,0.41,15.15,0.04,38.0,216.0,0.9976,,0.6,10.0,2.0
327,W0328,6.4,0.34,0.23,6.3,0.039,37.0,143.0,0.9944,3.19,0.65,10.0,2.0
328,W0329,6.5,0.28,0.35,15.4,0.042,55.0,195.0,0.9978,3.23,0.5,9.6,2.0
329,W0330,7.2,0.21,0.41,1.3,0.036,33.0,85.0,0.992,3.17,,10.4,1.0
330,W0331,6.4,0.32,0.35,4.8,0.03,34.0,101.0,0.9912,3.36,0.6,12.5,2.0
331,W0332,6.8,0.24,0.34,4.6,0.032,37.0,135.0,0.9927,3.2,0.39,10.6,1.0
332,W0333,6.3,0.23,0.3,1.8,0.033,16.0,91.0,0.9906,,0.4,11.8,2.0
333,W0334,6.5,0.28,0.34,9.9,0.038,30.0,133.0,0.9954,3.11,0.44,9.8,1.0
334,W0335,5.6,0.26,0.26,5.7,0.031,12.0,80.0,0.9923,3.25,0.38,10.8,1.0
335,W0336,6.3,0.23,0.3,1.8,0.033,16.0,91.0,0.9906,,0.4,11.8,2.0
336,W0337,6.3,0.23,0.33,1.5,0.036,15.0,105.0,0.991,3.32,0.42,11.2,2.0
337,W0338,5.8,0.27,0.27,12.3,0.045,55.0,170.0,0.9972,3.28,0.42,9.3,2.0
338,W0339,5.9,0.26,0.4,1.3,0.047,12.0,139.0,0.9945,3.45,0.53,10.4,1.0
339,W0340,6.6,0.18,,1.5,0.049,49.0,141.0,0.9934,,0.85,10.2,2.0
340,W0341,7.4,0.2,0.43,7.8,0.045,27.0,153.0,0.9964,3.19,,9.0,2.0
341,W0342,8.0,0.24,0.36,1.5,0.047,17.0,129.0,0.9948,3.2,0.54,10.0,2.0
342,W0343,6.4,0.26,0.42,9.7,0.044,30.0,140.0,0.9962,3.18,0.47,9.1,2.0
343,W0344,5.4,0.31,0.47,3.0,0.053,46.0,144.0,0.9931,3.29,0.76,10.0,1.0
344,W0345,5.4,0.29,0.47,3.0,0.052,47.0,145.0,0.993,3.29,0.75,10.0,2.0
345,W0346,7.1,0.145,,4.6,0.05,33.0,131.0,0.9942,3.28,0.4,9.6,2.0
346,W0347,5.6,0.34,0.1,1.3,0.031,20.0,68.0,0.9906,3.36,0.51,11.2,2.0
347,W0348,6.7,0.19,0.41,15.6,0.056,75.0,155.0,0.9995,3.2,0.44,8.8,2.0
348,W0349,7.8,0.18,0.46,13.6,0.052,38.0,118.0,0.998,3.15,0.5,10.0,2.0
349,W0350,7.6,0.17,0.45,11.2,0.054,56.0,137.0,0.997,3.15,0.47,10.0,1.0
350,W0351,6.3,0.12,0.36,2.1,0.044,47.0,146.0,0.9914,3.27,0.74,11.4,2.0
351,W0352,7.3,0.33,0.4,6.85,0.038,32.0,138.0,0.992,3.03,0.3,11.9,2.0
352,W0353,5.5,0.335,0.3,2.5,0.071,27.0,128.0,0.9924,,0.51,9.6,2.0
353,W0354,7.3,0.33,0.4,6.85,0.038,32.0,138.0,0.992,3.03,,11.9,2.0
354,W0355,5.8,0.4,0.42,4.4,0.047,38.5,245.0,0.9937,3.25,0.57,9.6,2.0
355,W0356,7.3,0.22,0.37,14.3,0.063,48.0,191.0,0.9978,2.89,0.38,9.0,2.0
356,W0357,7.3,0.22,0.37,14.3,0.063,48.0,191.0,0.9978,2.89,,9.0,2.0
357,W0358,6.1,0.36,0.33,1.1,0.05,24.0,169.0,0.9927,3.15,0.78,9.5,2.0
358,W0359,10.0,0.2,0.39,1.4,0.05,19.0,152.0,0.994,3.0,0.42,10.4,2.0
359,W0360,6.9,0.24,0.34,4.7,0.04,43.0,161.0,0.9935,3.2,0.59,10.6,2.0
360,W0361,6.4,0.24,0.32,14.9,0.047,54.0,162.0,0.9968,3.28,0.5,10.2,2.0
361,W0362,7.1,0.365,0.14,1.2,0.055,24.0,84.0,0.9941,3.15,,8.9,1.0
362,W0363,6.8,0.15,0.3,5.3,0.05,40.0,127.0,0.9942,3.4,0.39,9.7,2.0
363,W0364,7.3,0.22,0.37,14.3,0.063,48.0,191.0,0.9978,,0.38,9.0,2.0
364,W0365,6.8,0.16,,2.3,0.037,18.0,102.0,0.9923,3.49,0.42,11.4,2.0
365,W0366,6.0,0.26,0.32,3.5,0.028,29.0,113.0,0.9912,,0.71,12.3,2.0
366,W0367,6.0,0.18,,1.5,0.089,40.0,143.0,0.9923,,0.62,10.8,2.0
367,W0368,6.9,0.33,0.21,1.0,0.053,39.0,148.0,0.9927,3.12,0.45,9.4,2.0
368,W0369,7.7,0.29,0.48,2.3,0.049,36.0,178.0,0.9931,3.17,0.64,10.6,2.0
369,W0370,7.1,0.39,,12.5,0.044,26.0,72.0,0.9941,3.17,0.29,11.6,1.0
370,W0371,6.9,0.33,0.21,1.0,0.053,39.0,148.0,0.9927,3.12,,9.4,2.0
371,W0372,7.7,0.29,0.48,2.3,0.049,36.0,178.0,0.9931,3.17,0.64,10.6,2.0
372,W0373,6.6,0.905,0.19,0.8,0.048,17.0,204.0,0.9934,3.34,0.56,10.0,1.0
373,W0374,7.2,0.27,0.27,2.4,0.048,30.0,149.0,0.9936,3.1,0.51,9.2,2.0
374,W0375,5.1,0.33,,1.6,0.027,18.0,89.0,0.9893,,0.38,12.5,2.0
375,W0376,5.1,0.33,0.22,1.6,0.027,18.0,89.0,0.9893,3.51,0.38,12.5,2.0
376,W0377,6.4,0.31,0.28,1.5,0.037,12.0,119.0,0.9919,3.32,0.51,10.4,2.0
377,W0378,7.3,0.2,,1.4,0.045,21.0,98.0,0.9924,,0.46,10.0,2.0
378,W0379,5.7,0.32,0.5,2.6,0.049,17.0,155.0,0.9927,3.22,0.64,10.0,2.0
379,W0380,6.4,0.31,0.28,1.5,0.037,12.0,119.0,0.9919,3.32,0.51,10.4,2.0
380,W0381,7.3,0.2,0.44,1.4,0.045,21.0,98.0,0.9924,3.15,0.46,10.0,2.0
381,W0382,7.2,0.28,0.26,12.5,0.046,48.0,179.0,0.9975,3.1,0.52,9.0,2.0
382,W0383,7.5,0.35,,9.6,0.051,26.0,157.0,0.9969,,0.53,9.2,2.0
383,W0384,7.2,0.27,0.27,2.4,0.048,30.0,149.0,0.9936,3.1,0.51,9.2,2.0
384,W0385,6.0,0.36,0.39,3.2,0.027,20.0,125.0,0.991,3.38,0.39,11.3,2.0
385,W0386,5.1,0.33,0.22,1.6,0.027,18.0,89.0,0.9893,3.51,0.38,12.5,2.0
386,W0387,5.0,0.17,0.56,1.5,0.026,24.0,115.0,0.9906,3.48,,10.8,2.0
387,W0388,6.3,0.39,0.35,5.9,0.04,82.5,260.0,0.9941,3.12,0.66,10.1,1.0
388,W0389,6.7,0.21,0.32,5.4,0.047,29.0,140.0,0.995,3.39,0.46,9.7,2.0
389,W0390,7.0,0.3,,14.9,0.032,60.0,181.0,0.9983,3.18,0.61,9.3,2.0
390,W0391,7.0,0.3,0.38,14.9,0.032,60.0,181.0,0.9983,3.18,0.61,9.3,2.0
391,W0392,6.5,0.36,0.32,1.1,0.031,13.0,66.0,0.9916,,0.46,10.6,1.0
392,W0393,6.1,0.55,0.15,9.8,0.031,19.0,125.0,0.9957,3.36,0.47,10.2,2.0
393,W0394,7.3,0.24,0.43,2.0,0.021,20.0,69.0,0.99,3.08,0.56,12.2,2.0
394,W0395,6.8,0.37,0.51,11.8,0.044,62.0,163.0,0.9976,,,8.8,1.0
395,W0396,6.8,0.27,,1.3,0.04,87.0,168.0,0.992,3.18,0.41,10.0,1.0
396,W0397,8.2,0.28,0.42,1.8,0.031,30.0,93.0,0.9917,3.09,0.39,11.4,1.0
397,W0398,6.3,0.2,0.4,1.5,0.037,35.0,107.0,0.9917,3.46,0.5,11.4,2.0
398,W0399,5.9,0.26,0.27,18.2,0.048,52.0,168.0,0.9993,3.35,0.44,9.4,1.0
399,W0400,6.4,0.19,0.42,2.9,0.032,32.0,83.0,0.9908,3.3,0.41,11.7,2.0
400,W0401,6.3,0.2,0.4,1.5,0.037,35.0,107.0,0.9917,3.46,,11.4,2.0
401,W0402,6.8,0.37,0.51,11.8,0.044,62.0,163.0,0.9976,3.19,0.44,8.8,1.0
402,W0403,6.1,0.35,,1.4,0.069,22.0,108.0,0.9934,,0.52,9.2,1.0
403,W0404,7.1,0.27,0.31,18.2,0.046,55.0,252.0,1.0,3.07,0.56,8.7,1.0
404,W0405,6.8,0.22,,6.3,0.035,33.0,170.0,0.9918,,0.66,12.6,2.0
405,W0406,6.8,0.27,0.12,1.3,0.04,87.0,168.0,0.992,,0.41,10.0,1.0
406,W0407,5.8,0.28,0.34,4.0,0.031,40.0,99.0,0.9896,3.39,0.39,12.8,2.0
407,W0408,6.9,0.49,0.24,1.2,0.049,13.0,125.0,0.9932,3.17,0.51,9.4,1.0
408,W0409,6.3,0.14,0.39,1.2,0.044,26.0,116.0,0.992,3.26,0.53,10.3,2.0
409,W0410,8.2,0.28,0.42,1.8,0.031,30.0,93.0,0.9917,,0.39,11.4,1.0
410,W0411,7.2,0.25,0.39,18.95,0.038,42.0,155.0,0.9999,2.97,0.47,9.0,2.0
411,W0412,7.3,0.28,0.36,12.7,0.04,38.0,140.0,0.998,3.3,0.79,9.6,2.0
412,W0413,7.2,0.19,0.39,1.2,0.036,32.0,85.0,0.9918,3.16,0.5,10.5,1.0
413,W0414,7.2,0.19,,1.2,0.036,32.0,85.0,0.9918,3.16,0.5,10.5,1.0
414,W0415,7.2,0.25,0.39,18.95,0.038,42.0,155.0,0.9999,2.97,0.47,9.0,2.0
415,W0416,7.3,0.28,0.36,12.7,0.04,38.0,140.0,0.998,3.3,0.79,9.6,2.0
416,W0417,7.4,0.21,0.27,1.2,0.041,27.0,99.0,0.9927,3.19,0.33,9.8,2.0
417,W0418,6.8,0.26,0.22,7.7,0.047,57.0,210.0,0.9959,3.1,0.47,9.0,1.0
418,W0419,7.4,0.21,0.27,1.2,0.041,27.0,99.0,0.9927,,0.33,9.8,2.0
419,W0420,7.4,0.31,0.28,1.6,0.05,33.0,137.0,0.9929,3.31,,10.5,2.0
420,W0421,7.0,0.22,0.31,2.7,0.03,41.0,136.0,0.9898,3.16,0.37,12.7,2.0
421,W0422,7.0,0.21,0.28,8.7,0.045,37.0,222.0,0.9954,3.25,0.54,10.4,2.0
422,W0423,7.0,0.21,0.28,8.6,0.045,37.0,221.0,0.9954,3.25,0.54,10.4,2.0
423,W0424,7.0,0.21,0.28,8.6,0.045,37.0,221.0,0.9954,3.25,0.54,10.4,2.0
424,W0425,6.9,0.23,0.38,8.3,0.047,47.0,162.0,0.9954,3.34,0.52,10.5,2.0
425,W0426,7.0,0.21,0.28,8.7,0.045,37.0,222.0,0.9954,3.25,0.54,10.4,2.0
426,W0427,7.0,0.21,0.28,8.6,0.045,37.0,221.0,0.9954,3.25,0.54,10.4,2.0
427,W0428,6.8,0.29,0.5,13.3,0.053,48.0,194.0,0.9974,3.09,0.45,9.4,1.0
428,W0429,7.8,0.21,0.27,1.2,0.051,20.0,89.0,0.9936,3.06,,9.1,1.0
429,W0430,7.1,0.31,0.47,13.6,0.056,54.0,197.0,0.9978,3.1,0.49,9.3,1.0
430,W0431,6.8,0.29,0.5,13.3,0.053,48.0,194.0,0.9974,3.09,0.45,9.4,1.0
431,W0432,6.4,0.34,0.1,1.1,0.048,19.0,84.0,0.9927,3.21,,9.8,1.0
432,W0433,7.4,0.155,0.34,2.3,0.045,73.5,214.0,0.9934,3.18,0.61,9.9,2.0
433,W0434,7.2,0.55,0.09,1.5,0.108,16.0,151.0,0.9938,3.07,0.57,9.2,1.0
434,W0435,7.0,0.23,0.36,7.1,0.028,31.0,104.0,0.9922,3.35,0.47,12.1,2.0
435,W0436,6.9,0.2,0.37,6.2,0.027,24.0,97.0,0.992,3.38,0.49,12.2,2.0
436,W0437,6.1,0.28,0.32,2.5,0.042,23.0,218.5,0.9935,3.27,0.6,9.8,1.0
437,W0438,6.6,0.16,0.32,1.4,0.035,49.0,186.0,0.9906,,0.64,12.4,2.0
438,W0439,7.4,0.155,0.34,2.3,0.045,73.5,214.0,0.9934,3.18,0.61,9.9,2.0
439,W0440,6.2,0.35,0.04,1.2,0.06,23.0,108.0,0.9934,3.26,,9.2,1.0
440,W0441,6.7,0.22,0.37,1.6,0.028,24.0,102.0,0.9913,3.29,0.59,11.6,2.0
441,W0442,6.1,0.38,,6.6,0.033,25.0,137.0,0.9938,,0.69,10.4,2.0
442,W0443,6.0,0.25,0.28,2.2,0.026,54.0,126.0,0.9898,3.43,0.65,12.9,2.0
443,W0444,6.6,0.52,0.44,12.2,0.048,54.0,245.0,0.9975,3.26,0.54,9.3,2.0
444,W0445,6.9,0.24,0.36,20.8,0.031,40.0,139.0,0.9975,3.2,0.33,11.0,2.0
445,W0446,7.1,0.32,0.32,11.0,0.038,16.0,66.0,0.9937,3.24,0.4,11.5,1.0
446,W0447,5.8,0.28,0.27,2.6,0.054,30.0,156.0,0.9914,3.53,0.42,12.4,1.0
447,W0448,6.5,0.41,0.24,14.0,0.048,24.0,113.0,0.9982,3.44,0.53,9.8,2.0
448,W0449,6.5,0.41,0.24,14.0,0.048,24.0,113.0,0.9982,3.44,,9.8,2.0
449,W0450,6.4,0.28,0.29,1.6,0.052,34.0,127.0,0.9929,3.48,0.56,10.5,2.0
450,W0451,7.2,0.6,0.2,9.9,0.07,21.0,174.0,0.9971,3.03,0.54,9.1,1.0
451,W0452,6.1,0.2,0.25,1.2,0.038,34.0,128.0,0.9921,3.24,0.44,10.1,1.0
452,W0453,5.9,0.46,0.14,2.7,0.042,27.0,160.0,0.9931,,0.51,10.6,2.0
453,W0454,6.0,0.27,0.27,1.6,0.046,32.0,113.0,0.9924,3.41,0.51,10.5,2.0
454,W0455,6.4,0.28,0.29,1.6,0.052,34.0,127.0,0.9929,3.48,0.56,10.5,2.0
455,W0456,6.4,0.41,0.24,14.0,0.048,24.0,113.0,0.9982,3.44,0.53,9.8,2.0
456,W0457,6.3,0.23,0.31,1.5,0.022,11.0,82.0,0.9892,3.3,0.4,12.9,2.0
457,W0458,7.1,0.21,0.27,8.6,0.056,26.0,111.0,0.9956,2.95,0.52,9.5,1.0
458,W0459,6.0,0.37,0.32,1.0,0.053,31.0,218.5,0.9924,3.29,0.72,9.8,2.0
459,W0460,6.1,0.43,0.35,9.1,0.059,83.0,249.0,0.9971,,0.5,8.5,1.0
460,W0461,7.1,0.21,0.27,8.6,0.056,26.0,111.0,0.9956,2.95,0.52,9.5,1.0
461,W0462,7.0,0.25,0.29,15.2,0.047,40.0,171.0,0.9982,3.22,0.45,9.3,1.0
462,W0463,5.9,0.25,0.19,12.4,0.047,50.0,162.0,0.9973,3.35,0.38,9.5,1.0
463,W0464,6.8,0.32,0.21,2.2,0.044,15.0,68.0,0.9932,3.17,,9.4,2.0
464,W0465,7.2,0.39,0.62,11.0,0.047,66.0,178.0,0.9976,3.16,0.5,8.7,1.0
465,W0466,6.3,0.21,0.58,10.0,0.081,34.0,126.0,0.9962,2.95,0.46,8.9,1.0
466,W0467,7.0,0.14,0.32,9.0,0.039,54.0,141.0,0.9956,3.22,,9.4,2.0
467,W0468,6.8,0.32,0.21,2.2,0.044,15.0,68.0,0.9932,,,9.4,2.0
468,W0469,7.2,0.39,0.62,11.0,0.047,66.0,178.0,0.9976,3.16,,8.7,1.0
469,W0470,7.2,0.29,0.53,18.15,0.047,59.0,182.0,0.9992,3.09,0.52,9.6,1.0
470,W0471,8.6,0.37,,12.15,0.039,21.0,158.0,0.9983,,0.73,9.3,2.0
471,W0472,6.5,0.38,0.34,3.4,0.036,34.0,200.0,0.9937,3.14,0.76,10.0,1.0
472,W0473,6.6,0.24,0.29,2.0,0.023,19.0,86.0,0.99,3.25,,12.5,2.0
473,W0474,7.0,0.17,0.31,4.8,0.034,34.0,132.0,0.9944,3.36,0.48,9.6,2.0
474,W0475,5.5,0.16,0.22,4.5,0.03,30.0,102.0,0.9938,3.24,0.36,9.4,2.0
475,W0476,7.0,0.24,0.51,11.0,0.029,55.0,227.0,0.9965,3.03,0.61,9.5,1.0
476,W0477,7.4,0.28,,1.1,0.028,42.0,105.0,0.9893,2.99,0.39,12.4,2.0
477,W0478,7.0,0.22,0.28,1.5,0.037,29.0,115.0,0.9927,3.11,0.55,10.5,2.0
478,W0479,7.1,0.55,0.13,1.7,0.073,21.0,165.0,0.994,2.97,0.58,9.2,2.0
479,W0480,6.3,0.22,0.33,1.7,0.041,67.0,164.0,0.9928,3.32,,10.4,2.0
480,W0481,6.7,0.47,0.34,8.9,0.043,31.0,172.0,0.9964,3.22,0.6,9.2,1.0
481,W0482,5.9,0.36,0.41,1.3,0.047,45.0,104.0,0.9917,3.33,0.51,10.6,2.0
482,W0483,5.8,0.25,,13.3,0.044,41.0,137.0,0.9972,3.34,0.42,9.5,1.0
483,W0484,6.7,0.47,0.34,8.9,0.043,31.0,172.0,0.9964,3.22,,9.2,1.0
484,W0485,6.2,0.37,0.3,6.6,0.346,79.0,200.0,0.9954,3.29,0.58,9.6,1.0
485,W0486,6.2,0.18,0.38,1.5,0.028,36.0,117.0,0.993,3.47,,9.7,2.0
486,W0487,6.0,0.16,,1.5,0.025,43.0,117.0,0.9928,3.46,0.51,9.7,2.0
487,W0488,6.6,0.34,0.28,1.3,0.035,32.0,90.0,0.9916,3.1,0.42,10.7,2.0
488,W0489,7.4,0.29,0.29,1.6,0.045,53.0,180.0,0.9936,3.34,0.68,10.5,2.0
489,W0490,7.4,0.26,0.31,7.6,0.047,52.0,177.0,0.9962,3.13,0.45,8.9,2.0
490,W0491,7.0,0.28,,1.0,0.035,8.0,70.0,0.9899,3.09,0.46,12.1,2.0
491,W0492,7.1,0.23,0.39,1.6,0.032,12.0,65.0,0.9898,3.25,0.4,12.7,2.0
492,W0493,7.8,0.19,0.26,8.9,0.039,42.0,182.0,0.996,3.18,0.46,9.9,2.0
493,W0494,6.3,0.19,0.28,1.8,0.022,28.0,158.0,0.9907,3.2,0.64,11.4,2.0
494,W0495,6.8,0.2,0.38,4.7,0.04,27.0,103.0,0.994,,,10.7,2.0
495,W0496,5.7,0.44,0.13,7.0,0.025,28.0,173.0,0.9913,3.33,0.48,12.5,2.0
496,W0497,7.2,0.4,,10.8,0.041,70.0,189.0,0.9976,,0.49,8.6,1.0
497,W0498,6.8,0.23,0.32,1.6,0.026,43.0,147.0,0.9904,3.29,0.54,12.5,2.0
498,W0499,5.7,0.335,0.34,1.0,0.04,13.0,174.0,0.992,3.27,0.66,10.0,1.0
499,W0500,7.2,0.4,,10.8,0.041,70.0,189.0,0.9976,3.08,0.49,8.6,1.0
500,W0501,7.2,0.28,0.54,16.7,0.045,54.0,200.0,0.999,3.08,0.49,9.5,2.0
501,W0502,6.8,0.19,0.58,14.2,0.038,51.0,164.0,0.9975,3.12,0.48,9.6,2.0
502,W0503,6.4,0.3,0.3,2.25,0.038,8.0,210.0,0.9937,3.2,0.62,9.9,2.0
503,W0504,6.5,0.3,,2.25,0.037,8.0,210.0,0.9937,3.19,0.62,9.9,1.0
504,W0505,7.8,0.18,0.31,12.2,0.053,46.0,140.0,0.998,3.06,,8.9,2.0
505,W0506,7.8,0.18,0.31,12.2,0.053,46.0,140.0,0.998,3.06,0.53,8.9,2.0
506,W0507,7.3,0.51,0.26,3.3,0.09,7.0,135.0,0.9944,,0.52,8.8,1.0
507,W0508,6.0,0.24,0.27,1.9,0.048,40.0,170.0,0.9938,3.64,0.54,10.0,2.0
508,W0509,5.9,0.62,0.28,3.5,0.039,55.0,152.0,0.9907,3.44,0.44,12.0,2.0
509,W0510,6.0,0.24,0.27,1.9,0.048,40.0,170.0,0.9938,3.64,0.54,10.0,2.0
510,W0511,6.7,0.27,0.12,1.3,0.041,62.0,138.0,0.9921,3.21,0.42,10.0,2.0
511,W0512,7.8,0.34,0.35,1.8,0.042,8.0,167.0,0.9908,3.11,0.41,12.1,2.0
512,W0513,7.3,0.26,0.36,5.2,0.04,31.0,141.0,0.9931,3.16,0.59,11.0,2.0
513,W0514,7.4,0.36,0.33,1.4,0.025,27.0,55.0,0.9915,3.21,0.33,11.2,2.0
514,W0515,7.8,0.28,0.32,9.0,0.036,34.0,115.0,0.9952,3.17,0.39,10.3,2.0
515,W0516,6.1,0.31,0.26,2.2,0.051,28.0,167.0,0.9926,3.37,0.47,10.4,2.0
516,W0517,6.8,0.18,0.37,1.6,0.055,47.0,154.0,0.9934,3.08,,9.1,1.0
